final_rank,player,player_age,nationality,season_points,wins
101,Antti Eklund,21,Finland,2234,35,0
102,Tom Quinn,22,Scotland,2213,35,0
103,Zak Gilmore,22,Ireland,2205,35,0
104,Chris Roy,23,USA,2155,35,0
105,Ryan Duncan,21,USA,2116,35,0
106,Joseph Price,23,USA,2105,35,0
107,Roger Green,23,England,2079,35,0
108,Charles Fox,23,USA,2067,35,0
109,Charles Forde,21,Ireland,2016,35,0
110,James Russell,21,USA,1996,35,0
111,Timothy Barrett,21,England,1989,35,0
112,Michael James,23,USA,1941,35,0
113,Samuel Buchanan,21,USA,1929,35,0
114,Jay Kim,23,USA,1919,35,0
115,Wolfgang Speer,22,Germany,1829,35,0
116,Joseph Hill,20,USA,1806,35,0
117,Samuel Smith,21,Scotland,1736,35,0
118,Jerry Harris,21,USA,1683,35,0
119,Michael Richardson,21,USA,1608,35,0
120,Lewis Faulkner,22,England,1586,35,0
121,Budi Uyainah,23,Indonesia,1569,35,0
122,Gareth Bradshaw,20,Scotland,1474,35,0
123,Sean Cobb,22,USA,1474,35,0
124,Gerard Wouters,20,Belgium (Dutch),1434,35,0
125,Ray Stanley,22,USA,1422,35,0
126,Jean Perreault,21,French Canada,1367,35,0
127,Dennis Smith,22,USA,1355,35,0
128,Jonathan Gomez,20,USA,1324,35,0
129,Damian Norton,23,England,1285,35,0
130,Dennis Brown,20,USA,1238,35,0
131,Matthew Thomas,21,USA,1220,35,0
132,Geoffrey Singh,21,England,1145,35,0
133,John Lloyd,20,USA,1099,35,0
134,David Zamora,23,USA,1074,35,0
135,Jon Jackson,21,USA,1045,35,0
136,Stephen Miller,23,USA,1025,35,0
137,Magnus Bruun,20,Denmark,973,35,0
138,Klaus Winter,23,Austria,966,35,0
139,David Young,22,Australia,916,35,0
140,Ryan Pacheco,20,USA,829,35,0
141,Tony Holmes,20,England,797,35,0
142,Kristaps Pērkons,23,Latvia,769,35,0
143,Blake Jones,22,USA,743,35,0
144,Logan Patterson,23,Australia,590,35,0
145,Paul Cormican,20,Ireland,552,35,0
146,Kazys Sakalauskas,20,Lithuania,527,35,0
147,Saul Maloney,20,Ireland,513,35,0
148,Michael Jenkins,21,Canada,484,35,0
149,Nathaniel Roach,23,Ireland,450,35,0
150,Andrew Newman,21,England,380,35,0
