id,name,age,nationality,driving_power,driving_accuracy,approach_accuracy,short_game,putting,composure,confidence,current_status,introduction_season
1915,Aaron Doyle,19,England,36.72929453972427,94.71006424913,90.60223429276921,63.27364224129556,76.06417708213274,50.326106504671266,80.30461986339628,active,2
1920,Andre White,21,Australia,67.09315617466774,48.33918838610626,36.26557860141528,92.7271173957818,75.64049914851276,49.02751231110774,76.46411968938732,active,2
1902,Bjorn Kjóisdóttir,22,Iceland,77.32339663300148,75.16588255901775,89.3288821458176,86.28241033481544,85.80097629516771,68.98926270671586,59.16059276151828,active,2
1901,Blake West,19,USA,35.28037473981056,74.62375997571172,57.49692006056298,33.88073359569029,51.47969957080791,66.03010072661806,49.180962977983825,active,2
1912,Casey Gutierrez,19,USA,53.875032483936984,74.25496216740646,72.3700275401327,37.563321521708055,79.52472850856401,70.45356781694731,88.76712858654727,active,2
1924,Chad Jones,21,South Africa,58.987718484726145,79.16058811685552,84.76045154144225,45.10581154583523,78.95409576310843,51.425592462411046,86.48990084650015,active,2
1926,Charles Smith,19,USA,59.04629608624063,47.487756683889714,74.78866690133698,80.90486257926334,69.52621563423158,41.60149973310252,73.8355796386824,active,2
1916,Christopher Dudley,19,Australia,71.30482891156407,75.39719804750331,72.97455102183363,83.3679053843932,78.85079964866932,44.56869898980504,67.00662435986185,active,2
1928,Constantin Albu,20,Romania,61.28535513720332,89.35303775914431,92.14908161014743,90.93880449105802,86.53754220252455,71.86261501466205,64.18221415794869,active,2
1936,Dillon Stanley,20,Canada,93.66198462241044,55.27309303795748,52.12327840017922,49.18859960688326,71.36257443877571,55.75547502508013,86.07070671570591,active,2
1907,Dragan Orlić,21,Croatia,59.99166561382079,33.410298058487356,51.60987174977869,48.133360257789576,63.53989400558364,88.33579157719171,77.65150241726033,active,2
1942,Dylan Edwards,21,Australia,83.40121431535556,50.967356558708985,79.17928448325742,73.58672243149073,82.85898425048642,30.437548463301255,42.52288029487277,active,2
1917,Edgars Turiņš,21,Latvia,83.34460526041704,36.580283388615555,83.33709441035465,93.75036424644165,83.90179012081467,30.740334232530834,84.42301840204314,active,2
1927,Edwin Mercer,22,USA,53.92748340146074,81.52077151854232,30.34164217296887,67.3866563519167,61.09517222124002,50.29408178569943,68.29080370505496,active,2
1937,Erik Brandt,21,Denmark,57.94601379095286,48.27847250257682,58.87688160948758,52.654077046152246,92.25807611339673,83.75205921912875,41.81692624512452,active,2
1932,Erik Gonzalez,22,USA,46.515515263879976,80.07088851813005,57.44165142228909,74.1602297435434,90.56569424508021,41.40728441754799,77.71956811493214,active,2
1904,Frank Cole,21,USA,41.99141123971424,90.68836233771592,53.39790264950321,73.53590923585831,74.53555698514683,93.00811114277644,41.56475859549747,active,2
1947,Gavin Potter,21,England,62.623671934138216,71.4869117431636,57.38858024837579,86.43847893720937,54.25399634059485,39.31432296100897,59.293448110658304,active,2
1935,Geoffrey Miller,21,USA,53.36402754806083,85.32380398320674,78.71006710969158,34.758150432897274,59.84563414372041,32.794078433091684,51.91488964167472,active,2
1903,George Stokes,19,USA,70.42219286985392,34.31985999197109,65.74511520472132,30.82544334162939,35.872692921656245,63.864056497009344,86.34668234099365,active,2
1919,Hans Rogge,21,Germany,56.87729456470255,38.82469483569456,50.04735834144563,33.46730076751797,42.8115036637126,38.44284967120728,41.52486102511279,active,2
1911,James Dennis,21,USA,60.79566011497792,80.40616880018197,92.254483992379,76.05556014268379,72.68688053328785,61.35691690628238,58.178661696700175,active,2
1949,Jonathan King,22,USA,46.92124998026149,44.197074429295256,30.63295262358464,61.13804775276357,39.49096296876148,69.32536633482238,89.2734215644575,active,2
1929,Jonathan Thompson,21,USA,70.67743301593526,36.49048669987375,66.7390769966866,33.782331588999554,78.18913126093804,82.03508095236604,75.43695933546803,active,2
1910,Jordan Powers,19,USA,52.56091428704856,45.43694142678871,92.36020659322057,86.94172514394072,43.82348723923479,67.37482498089734,44.3557883512651,active,2
1940,Kevin Kent,22,USA,83.58534178258103,65.79011340579544,67.28834696800885,74.29843652555365,88.81394621473228,90.27672416424144,86.89299003510159,active,2
1922,Kieran Day,20,England,92.87872985752192,52.54834362523453,89.51527735019727,86.76340995629076,56.073557722104226,33.04433578024891,73.34185271581333,active,2
1913,Klaus Frühwirth,19,Austria,60.26303028843607,51.140615678671665,74.85355404273471,44.16337663880275,88.26371441466648,76.57893192637434,43.19562774352843,active,2
1943,Leslie Moore,21,South Africa,89.88034280489708,88.608176593676,83.01934957975413,64.97315361557057,74.64611963149065,87.0298669808393,78.79303648769417,active,2
1941,Lewis Jones,22,Scotland,53.305960977385666,34.20610943154792,78.73036316510942,44.60982996530086,49.84465866455995,34.677915929734084,61.91752973627185,active,2
1934,Logan Odonnell,22,South Africa,93.70183562818261,83.00712382259738,66.0551707618456,58.87865688814813,61.85056168931069,52.60866800320312,46.39410324878428,active,2
1938,Luis Fuertes,19,Spain,89.23063649318884,83.72388770951359,75.7040683069088,84.49485649731926,43.408823266411396,42.2800891410384,66.93984960843726,active,2
1948,Marc Rodriguez,19,Australia,77.0173360365415,33.43404361108475,55.00374133192588,77.82362052111317,50.25227188114103,79.13824007994705,72.55172526935283,active,2
1914,Mark Hanson,21,USA,33.35610322632855,52.985841654310796,47.54523626004817,94.72386053484621,44.911916452996216,63.48307089441091,73.72497141784496,active,2
1925,Mark Perry,19,USA,68.60038650130397,87.66413961351245,65.32298759061379,75.28563951944557,85.2562988777051,43.265222090475156,66.48990771767717,active,2
1930,Matthew Bond,19,USA,64.11081191341762,74.0954645978934,40.04200366781204,33.85064915537089,46.946394019659195,34.89083337420903,43.70741883331396,active,2
1906,Nuno Antunes,20,Portugal,91.03620278549133,43.73511324853826,70.71523461706676,44.40639723387185,94.098091641476,59.98933848708228,64.04926154411436,active,2
1921,Peter Cook,22,Scotland,94.06758369625668,36.81401256444862,74.97564501683857,84.46225018356714,85.44950801293508,35.869425602953584,63.80420105524116,active,2
1946,Peteris Krēsliņa,19,Latvia,55.877835899089234,33.10880476430001,57.718554727936024,51.50464379875511,57.67849674089972,41.85269675017171,62.14961724353985,active,2
1945,Raivo Rosin,20,Estonia,52.67593365872761,59.20567273631449,41.56356774909102,64.91256169215384,39.008166766969815,81.2978369072325,75.58962028246191,active,2
1944,Reuben Comber,22,Ireland,61.484285273693175,53.08093757164327,87.83699991826332,57.92058295437513,56.11557354412977,84.44850568898204,56.015581713301884,active,2
1909,Robert Jones,19,Scotland,76.78661792277256,58.46822063417349,40.374842794708144,78.82143011779246,87.62871251560847,30.80770876555806,86.85905466997389,active,2
1908,Robert Lee,22,USA,81.39704096414496,79.56460024598474,48.89908202436222,36.97044242646107,89.75047118505522,65.22447161129338,65.94439112027408,active,2
